Unnamed: 0,sample,time_diff,RMSE
0,sample_1_rmse_in_time,2,0.0069128864151806
1,sample_1_rmse_in_time,4,0.0069128864151805
2,sample_1_rmse_in_time,6,0.0075413306347425
3,sample_1_rmse_in_time,8,0.0314222109780935
4,sample_1_rmse_in_time,2,0.0138257728303612
5,sample_1_rmse_in_time,4,0.014454217049923
6,sample_1_rmse_in_time,6,0.0251377687824748
7,sample_1_rmse_in_time,2,0.0006284442195618
8,sample_1_rmse_in_time,4,0.038963541612836
9,sample_1_rmse_in_time,2,0.0395919858323978
0,sample_2_rmse_in_time,2,0.0113119959521137
1,sample_2_rmse_in_time,4,0.0219955476846654
2,sample_2_rmse_in_time,6,0.0006284442195618
3,sample_2_rmse_in_time,8,0.0301653225389698
4,sample_2_rmse_in_time,2,0.0100551075129899
5,sample_2_rmse_in_time,4,0.0106835517325518
6,sample_2_rmse_in_time,6,0.0188533265868561
7,sample_2_rmse_in_time,2,0.0213671034651037
8,sample_2_rmse_in_time,4,0.0081697748543043
9,sample_2_rmse_in_time,2,0.0295368783194079
0,sample_3_rmse_in_time,2,0.0226239919042273
1,sample_3_rmse_in_time,4,0.0282799898802841
2,sample_3_rmse_in_time,6,0.0169679939281706
3,sample_3_rmse_in_time,8,0.0395919858323978
4,sample_3_rmse_in_time,2,0.0056559979760568
5,sample_3_rmse_in_time,4,0.0402204300519599
6,sample_3_rmse_in_time,6,0.0169679939281705
7,sample_3_rmse_in_time,2,0.0144542170499231
8,sample_3_rmse_in_time,4,0.0113119959521137
9,sample_3_rmse_in_time,2,0.0257662130020367
0,sample_4_rmse_in_time,2,0.0270231014411604
1,sample_4_rmse_in_time,4,0.0509039817845115
2,sample_4_rmse_in_time,6,0.0219955476846654
3,sample_4_rmse_in_time,8,0.0163395497086087
4,sample_4_rmse_in_time,2,0.0232524361237892
5,sample_4_rmse_in_time,4,0.0050275537564949
6,sample_4_rmse_in_time,6,0.0113119959521137
7,sample_4_rmse_in_time,2,0.0289084340998462
8,sample_4_rmse_in_time,4,0.034564432075903
9,sample_4_rmse_in_time,2,0.0056559979760568
0,sample_5_rmse_in_time,2,0.015082661269485
1,sample_5_rmse_in_time,4,0.0031422210978093
2,sample_5_rmse_in_time,6,0.0100551075129899
3,sample_5_rmse_in_time,8,0.0106835517325518
4,sample_5_rmse_in_time,2,0.0182248823672943
5,sample_5_rmse_in_time,4,0.0050275537564949
6,sample_5_rmse_in_time,6,0.0056559979760568
7,sample_5_rmse_in_time,2,0.0131973286107993
8,sample_5_rmse_in_time,4,0.0075413306347424
9,sample_5_rmse_in_time,2,0.0207386592455417
0,sample_6_rmse_in_time,2,0.0043991095369331
1,sample_6_rmse_in_time,4,0.0452479838084546
2,sample_6_rmse_in_time,6,0.0062844421956187
3,sample_6_rmse_in_time,8,0.0025137768782475
4,sample_6_rmse_in_time,2,0.0131973286107993
5,sample_6_rmse_in_time,4,0.0295368783194079
6,sample_6_rmse_in_time,6,0.0018853326586856
7,sample_6_rmse_in_time,2,0.0113119959521137
8,sample_6_rmse_in_time,4,0.047761760686702
9,sample_6_rmse_in_time,2,0.0276515456607225
